route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
19-803-s18-1,1,803,"Schöngeising, Ahornstraße - Grafrath, Schule - Inning, Marktplatz",701,,008351,FFFFFF
19-803-s18-2,1,803,"Schöngeising, Ahornstraße - Grafrath, Schule - Inning, Marktplatz",701,,008351,FFFFFF
19-804-s18-1,1,804,"Schöngeising, Jexhof - Mauern - Grafrath",701,,008351,FFFFFF
19-805-s18-1,1,805,"(Türkenfeld, Schule -) Zankenhausen - Kottgeisering - Grafrath",701,,008351,FFFFFF
19-815-s18-1,1,815,"Fürstenfeldbruck - Fürstenfeldbruck, Fliegerhorst",701,,008351,FFFFFF
19-820-s18-1,1,820,"FFB, Schöngeisinger Straße - Buchenau - Grafrath Inning - Seefeld-Hechendorf",701,,008351,FFFFFF
19-822-s18-1,1,822,Fürstenfeldbruck - Jesenwang - Mammendorf,701,,008351,FFFFFF
19-822-s18-2,1,822,Fürstenfeldbruck - Jesenwang - Mammendorf,701,,008351,FFFFFF
19-823-s18-1,1,823,Dünzelbach - Moorenweis - Jesenwang - Fürstenfeldbruck,701,,008351,FFFFFF
19-823-s18-2,1,823,Dünzelbach - Moorenweis - Jesenwang - Fürstenfeldbruck,701,,008351,FFFFFF
19-824-s18-1,1,824,Eichenau Süd - Roggensteiner Allee - Eichenau Süd,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-825-s18-1,1,825,Fürstenfeldbruck - Jesenwang - Dünzelbach,701,,008351,FFFFFF
19-825-s18-2,1,825,Fürstenfeldbruck - Jesenwang - Dünzelbach,701,,008351,FFFFFF
19-826-s18-1,1,826,Grafrath - Moorenweis - Grunertshofen - Dünzelbach - Moorenweis - Grafrath,701,,008351,FFFFFF
19-826-s18-2,1,826,Grafrath - Moorenweis - Grunertshofen - Dünzelbach - Moorenweis - Grafrath,701,,008351,FFFFFF
19-828-s18-1,1,828,Egling a.d. Paar - Moorenweis - Grafrath,701,,008351,FFFFFF
19-829-s18-1,1,829,"Moorenweis - Mammendorf Moorenweis, Schule - Jesenwang, Schule - Landsberied",701,,008351,FFFFFF
19-830-s18-1,1,830,Puchheim Nord - Gröbenzell - Lochhausen,701,,008351,FFFFFF
19-832-s18-1,1,832,Puchheim Nord - Gröbenzell Nord - Olching Lochhausen - Langwied,701,,008351,FFFFFF
19-833-s18-1,1,833,"Olching, Gymnasium - Olching - Olching, Gewerbegebiet - Eichenau Nord",701,,008351,FFFFFF
19-834-s18-1,1,834,"Olching, Cronenbergstraße - Olching - Olching, Gewerbegebiet - Eichenau Nord",701,,008351,FFFFFF
19-835-s18-1,1,835,"Esting, Schloß - Esting - Geiselbullach - Olching",701,,008351,FFFFFF
19-836-s18-1,1,836,"Buchenau - Esting - Geiselbullach, Gewerbepark Gewerbegebiet Nord - Puchheim Nord",701,,008351,FFFFFF
19-838-s18-1,1,838,Buchenau - Mammendorf - Oberschweinbach - Tegernbach,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-839-s18-1,1,839,Fürstenfeldbruck - Mammendorf - Althegnenberg - Tegernbach,701,,008351,FFFFFF
19-840-s18-1,1,840,Fürstenfeldbruck - Buchenau,701,,008351,FFFFFF
