service_id,date,exception_type
19T0+05#5,20180222,2
19T0+05#5,20180223,2
19T0+05#5,20180226,2
19T0+05#5,20180227,2
19T0+05#5,20180228,2
19T0+05#5,20180301,2
19T0+05#5,20180302,2
19T0+05#5,20180305,2
19T0+05#5,20180306,2
19T0+05#5,20180307,2
19T0+05#5,20180308,2
19T0+05#5,20180309,2
19T0+05#5,20180312,2
19T0+05#5,20180313,2
19T0+05#5,20180314,2
19T0+05#5,20180315,2
19T0+05#5,20180316,2
19T0+05#5,20180319,2
19T0+05#5,20180320,2
19T0+05#5,20180321,2
19T0+05#5,20180322,2
19T0+05#5,20180323,2
19T0+05#5,20180330,2
19T0+05#5,20180402,2
19T0+05#5,20180409,2
19T0+05#5,20180410,2
19T0+05#5,20180411,2
19T0+05#5,20180412,2
19T0+05#5,20180413,2
19T0+05#5,20180416,2
19T0+05#5,20180417,2
19T0+05#5,20180418,2
19T0+05#5,20180419,2
19T0+05#5,20180420,2
19T0+05#5,20180423,2
19T0+05#5,20180424,2
19T0+05#5,20180425,2
19T0+05#5,20180426,2
19T0+05#5,20180427,2
19T0+05#5,20180430,2
19T0+05#5,20180501,2
19T0+05#5,20180502,2
19T0+05#5,20180503,2
19T0+05#5,20180504,2
19T0+05#5,20180507,2
19T0+05#5,20180508,2
19T0+05#5,20180509,2
19T0+05#5,20180510,2
19T0+05#5,20180511,2
19T0+05#5,20180514,2
19T0+05#5,20180515,2
19T0+05#5,20180516,2
19T0+05#5,20180517,2
19T0+05#5,20180518,2
19T0+05#5,20180521,2
19T0+05#5,20180531,2
19T0+05#5,20180604,2
19T0+05#5,20180605,2
19T0+05#5,20180606,2
19T0+05#5,20180607,2
19T0+05#5,20180608,2
19T0+05#5,20180611,2
19T0+05#5,20180612,2
19T0+05#5,20180613,2
19T0+05#5,20180614,2
19T0+05#5,20180615,2
19T0+05#5,20180618,2
19T0+05#5,20180619,2
19T0+05#5,20180620,2
19T0+05#5,20180621,2
19T0+05#5,20180622,2
19T0+05#5,20180625,2
19T0+05#5,20180626,2
19T0+05#5,20180627,2
19T0+05#5,20180628,2
19T0+05#5,20180629,2
19T0+05#5,20180702,2
